site	air_mean_temp	alt	slope_per	din	ppo4	tmean	DOmean	flow_vel	discharge	NDVI100m	algal.production	GPP.mle	ER.mle	K600_hyd	pCH4	pCO2	FCH4.h	FCO2.h	do.def	ch4co2_ratio	pceq	perCH4	NEP.mle
site35	26.22	6	0.072	2.216	0.25	19.7	7.5	0.12	0.011	0.11	0.347324343	24.95	-89.44	25.1647702	5.6	1153.8	3.812832753	1438.113422	1.64011960311485	0.0133472005546889	1310.6	0.119639859606287	-64.49
site36	22.63	10	0.007	2.693	1.72	21.1	5.6	0.085	0.079	0.05	0.2149888	21.73	-74.62	3.180679258	7.5	1286.3	0.773900503	223.6282957	3.28662432993274	0.0160343621239213	1496.3	0.140346187261913	-52.89
site37	22.47	763	0.089	0.217	0.06	17.3	8.5	0.042	0.015	0.5	0.004435282	30.94	-43.64	12.24251917	7.1	2077.4	2.310421117	1462.615412	0.277827052068217	0.00939876769038221	2276.2	0.0873385467006414	-12.7
site38	25.96	64	0.052	2.194	0.34	21.7	3.3	0.081	0.065	0.02	0.142376229	76.55	-551.46	14.03142216	25.8	3798.8	14.72208114	3890.407102	5.42826524418681	0.018676950615984	4521.2	0.1597805892241	-474.91
site39	25.25	144	0.018	2.684	0.27	23.4	6.1	0.228	0.133	0.18	0.395751543	59.44	-205.49	15.114206	21.8	1471.8	14.50681852	1394.455824	2.26978928425957	0.0407324364723468	2082.2	0.293151474402075	-146.05
site40	28.82	126	0.032	2.608	0.66	19.1	7.2	0.063	0.001	0	0.017763733	1.02	-9.53	7.85128069	3.9	4799.6	0.651520885	2684.57782	1.92334131902572	0.00223456121343445	4908.8	0.0222457627118644	-8.51
site41	22.36	675	0.192	0.218	0.11	14.7	8.8	0.064	0.007	0.71	0.002397257	-0.19	-24.44	31.46173886	3.2	754.9	1.483344441	739.3896064	0.574796949145927	0.0116571731355146	844.5	0.106098283007697	-24.63
site42	29	109	0.043	1.189	0.63	24.1	4.1	0.095	0.019	0.39	0.004813333	20.67	-282.34	13.94001868	21.6	2634.6	11.9575834	2523.030005	4.19593987647152	0.0225461170576179	3239.4	0.18670124097055	-261.67
site43	23.44	58	0.045	1.207	0.145	18	8.4	0.192	0.159	0.09	0.081020343	10.36	-161.57	26.18555461	2.8	1465	1.016579751	2055.059957	1.00240355936362	0.00525597269624573	1543.4	0.0507969418167682	-151.21
site44	25.13	140	0.02	3.546	0.29	23.1	5.9	0.238	0.171	0.52	0.583914514	87.71	-303.97	16.9958741	17.9	2070.8	11.23588083	2222.648236	2.52136487509567	0.0237710063743481	2572	0.194867807153966	-216.26
site45	17.8	349	0.187	0.316	0.08	19.8	8.7	0.129	0.217	0.71	0.048	22.68	-70.17	56.01182486	3.3	399.6	3.409558591	-58.56284265	0.0532480350236586	0.0227102102102102	492	0.18780487804878	-47.49
site46	20.73	50	0.01	0.417	0.06	21.9	8.3	0.167	1.176	0.37	0.071808	20.54	-41.25	7.391942734	7.2	806.6	1.708987476	235.2354906	0.407965740926192	0.0245474832630796	1008.2	0.199960325332275	-20.71
site47	23.41	30	0.02	0.719	0.1	25.7	7.2	0.088	1.731	0.19	0.303473561	64.78	-189.69	7.290701037	14.2	946.2	4.200732409	331.0106439	0.928482466676757	0.0412703445360389	1343.8	0.295877362702783	-124.91
site48	24.26	546	0.052	0.329	0.08	16.5	8	0.078	0.008	0.04	0.0482904	24.36	-51.08	13.61025955	5.5	2410.2	1.911060285	2027.920072	1.1615845431755	0.00627541282881089	2564.2	0.0600577178067234	-26.72
site49	24.26	549	0.102	0.218	0.18	18.2	8.4	0.066	0.02	0.62	0.0342912	6.37	-36.95	19.90111506	2.9	1077	0.861557622	1005.265791	0.439711774348551	0.00740482822655525	1158.2	0.0701087895009497	-30.58
site50	24.72	235	0.029	1.082	0.13	20.2	7.6	0.068	0.2	0.388911543	0.79	24.01	-123.44	7.711589156	8.7	1336.6	2.154250674	558.0429805	1.20945701650212	0.0178998952566213	1580.2	0.154157701556765	-99.43
