"site"	"air_mean_temp"	"alt"	"slope_per"	"din"	"ppo4"	"tmean"	"DOmean"	"flow_vel"	"discharge"	"NDVI100m"	"algal.production"	"GPP.mle"	"ER.mle"	"K600_hyd"	"pCH4"	"pCO2"	"FCH4.h"	"FCO2.h"	"do.def"	"ch4co2_ratio"	"pceq"	"perCH4"	"NEP.mle"	"co2per"	"rip_open"
"1"	"site1"	1.80116311188646	-0.494223381841355	-0.223204977318647	0.781299340980692	0.627999409503914	-0.0183849699064358	0.238909292454133	0.146752052900652	-0.457359854788942	-0.673937000696607	0.34866681446247	-0.478809345681745	0.0319851050498397	-0.0618929893077963	-0.739524163117486	1.10328113759094	-0.423226905108026	0.853978424689791	0.288760917721611	-1.5967108235907	0.732210418397777	-1.46525446442911	-0.270253534911333	0.826266312897428	0.40370498987914
"2"	"site2"	1.70733420718442	-0.49083921735326	1.62776312727501	0.415102236574494	0.435683331983227	-0.478009217567347	0.907187033584572	0.768574986254055	-0.309202667111554	0.825645580614077	-1.08300817675619	-0.369370476414338	0.209812086794508	3.04015819731685	-0.528729892317394	-0.404606473999827	0.873713511147207	0.745827582018161	-0.488413781349915	-0.315093025118374	-0.55567123826883	-0.381259354278831	-0.438430493169613	-0.540070440948504	-0.80479845844611
"3"	"site3"	-4.08660065816631	0.90343655174177	-0.78575410714613	-0.524340898842017	-0.508413775845596	-2.85273449714872	1.49193005707371	-0.0726541612467119	-0.290823673474778	0.707257482089549	-0.0736564269251513	-0.822274666399369	-1.13671602356867	-0.802461502865276	-1.33512539790864	-0.956922130425375	-2.2892121981519	-0.73269607360549	-0.344007985882484	-0.610957144246766	-0.858926130823824	-0.663210677541639	0.936874261857241	-1.09985624807705	-0.721588025945386
"4"	"site4"	-1.08700786097309	0.399196043015655	0.157876691274165	-0.750419215741502	-0.141264900578831	-0.669519320759394	0.155374574812827	-1.29089485629961	-1.25987134641816	1.53597417176124	-1.1831529499215	-0.680814711344178	-0.802524530413672	-0.699733751430607	-0.342796168225842	-0.108206604933969	-0.623683964294175	-0.132024518170735	0.39371055169801	-0.400955157807173	-0.36587258689637	-0.464694531799132	0.594947929372886	-0.144213882836715	-1.34709091343675
"5"	"site5"	-1.08700786097309	0.527794293563254	-0.713167122652261	-0.106047544426252	-0.438480656747165	0.0199170507319726	-0.345833731035002	-0.185797309254553	-0.191341334160011	-0.0425338085657926	-0.107492092290267	-0.0503185126491382	-0.417774959136194	-0.778450141714477	-0.0844887815537587	-1.34948828756064	-0.419041863586016	-0.950572313800324	0.5734670978153	1.34796154146152	-0.911160411480089	1.40562744107325	0.393884801639515	-1.04407139679577	-0.179612359344043
"6"	"site6"	-1.22188691148226	1.05572395370603	1.39185542766993	-0.789305445829286	-0.490930496070988	-0.171593052460073	0.573048163019353	-0.930168088214596	-0.812279703603119	1.45704877274489	-0.478906018331292	-0.414378240371971	-1.02081857432964	0.115387167694855	-0.65180092424147	-0.621857127678382	-0.294587984592176	-0.0435753045813975	-1.15115110553967	-0.236810921160034	-0.675048774424544	-0.304120395236718	0.990853463645412	-0.650936022794839	-1.28017040327664
"7"	"site7"	-0.846571292674121	-0.707425744591323	-0.205058231195179	-0.293332409378637	-0.56086361516942	0.556145339669702	0.405978727736742	1.3342130128038	1.19953868185491	0.233705087991439	0.086005272533024	1.13570842369204	1.3764037326451	1.38867507600752	-0.880987000241719	-0.740829060394297	-0.00678660466998424	0.217028078026644	-0.178369052790336	-0.361225955091719	-0.744729727769643	-0.426244562787202	-1.31305445463267	-0.713600794858294	-0.386887499322444
"8"	"site8"	-0.570948885111889	-0.924012271829386	-0.985368314504269	-0.0925365727855881	-0.0538485017057921	0.632749380946521	0.823652315943267	1.19975953176828	1.34287399336899	0.667794782581373	0.283871371888196	0.27318688832048	-0.413687223876495	-0.541197364695576	-0.0549811543916986	-1.11830630882421	-0.11623919591305	-0.661068342752673	-1.38647978434328	1.07374988071976	-0.830694242290985	1.09685873604015	0.667481592133823	-1.10606911167369	-0.693958242943209
"9"	"site9"	-0.0607542157945685	0.893284058277486	1.01077375907712	-2.44677581285507	-0.525897055620204	-0.937633465228258	0.823652315943267	-0.441257501713961	-0.812279703603119	1.69382496979395	-0.914763102449375	-1.25688754880981	-1.12457134239472	0.40637452760083	-0.880987000241719	-1.40120956920119	-0.463355311119315	-0.706398878600287	-0.762899632757626	0.311541317968405	-0.989300357644015	0.260905321908277	0.812643685931124	-1.33688887026674	-1.48988363210735
"10"	"site10"	0.188478812320215	-0.17611191996045	2.4080732105841	-0.826415061882709	-0.455963936521772	0.402937257116065	0.573048163019353	-0.930168088214596	0.591807493800308	-1.06856399577837	-0.34612170242628	1.15446235334254	0.668549593025105	0.58325924260303	-0.528729892317394	-0.753213166665848	0.138389299665295	0.0166764532967825	-0.751136723919236	0.0289179927694031	-0.726542893209162	-0.0352963696956119	-0.147521517095964	-0.758108945328228	1.00127051611191
"11"	"site11"	0.484626292786016	0.13861537743236	0.57525185211391	-0.488979635054667	-0.386030817423341	-0.248197093736892	0.740117598301962	-0.109433250367017	0.397027190225693	0.98349637864678	-0.550023542314098	-0.215244513708787	-0.220694348462365	0.443574805722649	-0.451709149283343	-0.411457733309784	0.115010561682891	0.204386944918598	-0.743537297119831	-0.228419891775288	-0.553450752653888	-0.29579339540899	0.0723961707955608	-0.512856690413492	-0.917272096482754
